Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
2,-8.19137287,-135.722198,-5.92937946,-115.067841
2.046,-11.3197575,-139.740234,-9.58553219,-119.70005
2.09305811,-8.92841148,-137.14772,-6.74315405,-116.381073
2.1411984,-10.5578995,-144.462326,-8.48028946,-122.873016
2.1904459,-6.00421715,-137.839554,-3.15483999,-117.916084
2.24082613,-8.40445137,-136.917816,-6.11121702,-115.586555
2.29236507,-9.27403069,-138.237213,-7.11622238,-117.010567
2.34508944,-9.47990799,-139.970871,-7.28382969,-118.78199
2.39902639,-5.80106926,-138.738327,-2.81917334,-118.517609
2.45420408,-5.70371485,-139.73819,-2.60779524,-120.011673
2.51065087,-7.83696747,-140.622208,-5.14128637,-119.17038
2.56839585,-6.92052841,-141.115814,-3.93406081,-120.524124
2.62746906,-7.28661203,-141.469666,-4.36881733,-120.344627
2.68790078,-7.48833084,-142.54776,-4.54665518,-120.651497
2.74972248,-7.65872765,-144.147125,-4.65498924,-122.245003
2.81296611,-8.25555515,-146.870789,-5.30177641,-124.073189
2.87766433,-5.31859541,-145.462296,-1.46220005,-125.709427
2.94385052,-5.66219854,-145.703445,-1.85477602,-125.083618
3.01155901,-7.08097887,-145.802444,-3.74572349,-123.302826
3.08082485,-8.96862793,-150.13089,-6.13862514,-127.020714
3.15168381,-5.34875917,-144.618378,-1.59123957,-124.288712
3.22417259,-6.23008156,-145.375107,-2.63092995,-124.037468
3.29832864,-4.44522858,-146.468323,-0.337208867,-128.649185
3.37419009,-7.87506962,-149.798233,-4.60223866,-126.16861
3.45179653,-8.01711464,-152.201508,-4.67767572,-128.436172
3.53118777,-5.12381697,-148.797699,-0.807810009,-130.17247
3.61240506,-9.00115681,-165.882507,-5.8111124,-141.162628
3.69549036,-7.84643745,-157.602463,-4.17579508,-133.123886
3.78048658,-8.45708752,-161.494553,-5.00178576,-137.305557
3.86743784,-7.70364809,-156.003693,-4.02419615,-131.513885
3.95638895,-8.88585186,-166.131348,-5.64870548,-140.996063
4.04738569,-6.61983013,-152.099594,-2.57662153,-128.503952
4.14047575,-5.55317879,-151.486801,-1.0533402,-132.198532
4.23570681,-6.45000219,-155.661133,-2.01417923,-133.848053
4.33312798,-8.12663269,-170.778427,-4.41014242,-145.80307
4.4327898,-5.91908407,-154.667252,-1.25294101,-133.59906
